,Time,Comparisons,Exchanges
,,,
,,,
arr size: 256,,,
Insertion,120667,33151,32934
Insertion,169875,33151,33002
Insertion,303166,33151,33214
Insertion,156750,33151,32484
Insertion,267791,33151,31184
Insertion,258708,33151,31306
Insertion,468417,33151,32034
Insertion,112792,33151,31968
Insertion,106958,33151,30638
Insertion,110333,33151,30970
Insertion,439958,33151,30732
Insertion,281083,33151,32378
Insertion,117209,33151,32640
Insertion,111375,33151,32474
Insertion,110750,33151,31956
Insertion,1554959,33151,31830
Insertion,115916,33151,30460
Insertion,23250,33151,31442
Insertion,22041,33151,30082
Insertion,22292,33151,32600
Insertion,22292,33151,32540
Insertion,22708,33151,35066
Insertion,21958,33151,31078
Insertion,44708,33151,31702
Insertion,43917,33151,32900
Insertion,44084,33151,32830
Insertion,45000,33151,33048
Insertion,43666,33151,32362
Insertion,47542,33151,31870
Insertion,44125,33151,32814
Insertion,44417,33151,34530
Insertion,43083,33151,32330
Insertion,43500,33151,33366
Insertion,66208,33151,31658
Insertion,48083,33151,33140
Insertion,23125,33151,32148
Insertion,26750,33151,31926
Insertion,22375,33151,32356
Insertion,21625,33151,29444
Insertion,22584,33151,33572
Insertion,21959,33151,31058
Insertion,23917,33151,33740
Insertion,22583,33151,34880
Insertion,22167,33151,31632
Insertion,22084,33151,32896
Insertion,22083,33151,32166
Insertion,21875,33151,31048
Insertion,21750,33151,30998
Insertion,22625,33151,35426
Insertion,25000,33151,34764
Insertion,22375,33151,32266
Insertion,22250,33151,31952
Insertion,21917,33151,31686
Insertion,22041,33151,32628
Insertion,22000,33151,31726
Insertion,22208,33151,33328
Insertion,22000,33151,31558
Insertion,23459,33151,32866
Insertion,21833,33151,31808
Insertion,21875,33151,31806
Insertion,1202333,33151,34072
Insertion,22542,33151,33672
Insertion,22084,33151,32568
Insertion,22167,33151,32800
Insertion,22084,33151,32476
Insertion,22292,33151,33700
Insertion,24000,33151,33486
Insertion,22750,33151,31466
Insertion,22125,33151,31348
Insertion,22167,33151,31684
Insertion,22125,33151,31586
Insertion,22459,33151,33196
Insertion,21791,33151,30630
Insertion,22125,33151,32722
Insertion,22125,33151,32720
Insertion,22000,33151,32876
Insertion,21875,33151,30760
Insertion,22250,33151,33628
Insertion,21916,33151,32130
Insertion,22334,33151,34262
Insertion,53333,33151,35528
Insertion,22583,33151,34790
Insertion,22334,33151,33584
Insertion,22166,33151,31970
Insertion,22333,33151,32636
Insertion,45042,33151,32142
Insertion,60542,33151,33060
Insertion,22292,33151,32826
Insertion,21875,33151,30688
Insertion,22250,33151,33460
Insertion,21708,33151,31482
Insertion,21792,33151,32134
Insertion,21917,33151,31624
Insertion,21958,33151,32288
Insertion,22250,33151,34838
Insertion,21792,33151,31360
Insertion,22042,33151,32942
Insertion,22042,33151,32674
Insertion,22000,33151,33364
Insertion,22166,33151,32878
,,,
,,,
Quick,16333,6745,948
Quick,14166,6826,952
Quick,15000,6977,890
Quick,14125,6811,902
Quick,14666,6708,902
Quick,13875,6907,862
Quick,14125,7149,922
Quick,13916,6735,936
Quick,13500,6601,926
Quick,13375,6799,940
Quick,13916,7006,922
Quick,33333,6916,900
Quick,14334,6677,952
